id,company,description,createdAt,updatedAt
1,Beme,"A video messaging app created by a popular vlogger and short film maker on Youtube.","2016-08-23 01:50:16","2016-08-23 01:50:16"
2,Betterment,"The smarter automated investing service that provides optimized investment returns for individual, IRA, ROTH IRA & Rollover 401(k) accounts.","2016-08-23 01:51:33","2016-08-23 01:51:33"
3,BigDrop,"One of New Yorks most coveted contemporary womenswear retailer housing independent designers and favored labels.","2016-08-23 01:53:42","2016-08-23 01:53:42"
4,EMC,"Clouding computing and big data products and solutions that enable other businesses to store, manage, protect and analyze their data securely.","2016-08-23 01:54:36","2016-08-23 01:54:36"
5,"Texas Instruments","A global semiconductor design & manufacturing company. They innovate with 80000+ analog ICs & embedded processors, software & largest sales/support staff.","2016-08-23 01:56:00","2016-08-23 01:56:00"
6,Salesforce,"Provide on-demand customer relationship management (CRM) software services to help companies with global customer communication.","2016-08-23 01:57:02","2016-08-23 01:57:02"
7,AMD,"American multinational semiconductor company based in Sunnyvale, California that develops computer processors and related technologies for business and consumer markets.","2016-08-23 01:58:15","2016-08-23 01:58:15"
8,NetApp,"Deliver software, systems and services to manage and store your data. Provide enhanced data control, choice, and efficiency.","2016-08-23 01:59:04","2016-08-23 01:59:04"
9,MindBody,"World leader in software for class and appointment based businesses.","2016-08-23 01:59:56","2016-08-23 01:59:56"
10,"World Wide Technology","Award winning technology integrator bringing collaborative, innovative, and proven approaches to evaluate, architect and implement solutions.","2016-08-23 02:00:59","2016-08-23 02:00:59"
11,Zillow,"The leading real estate marketplace. Search millions for sale and rental listings, compare home values and connect with local professionals.","2016-08-23 02:01:54","2016-08-23 02:01:54"
12,Hubspot,"An inbound marketing and sales platform that helps companies attract visitors, convert leads, and close customers.","2016-08-23 02:02:41","2016-08-23 02:02:41"
13,Crowdtwist,"An industry-leading provider of comprehensive multichannel loyalty and engagement solutions.","2016-08-23 02:03:46","2016-08-23 02:03:46"
14,AirBnb,"An online marketplace that enables people to list, find, then rent vacation homes for a processing fee. Over 1,500,000 listings in 34,000 cities and 191 countries.","2016-08-23 02:04:59","2016-08-23 02:04:59"
15,REI,"Retail chain carrying gear, apparel & footwear for a wide range of outdoor & fitness activities.","2016-08-23 02:05:44","2016-08-23 02:05:44"
16,"World Wildlife Fund","The leading organization in wildlife conservation and endangered species.","2016-08-23 02:06:36","2016-08-23 02:06:36"
17,PwC,"Focus on audit and assurance, tax and consulting services. They help resolve complex issues and identify opportunities.","2016-08-23 02:07:34","2016-08-23 02:07:34"
18,Burton,"Manufacturer of Snowboards and various other snow sport equipment.","2016-08-23 02:08:16","2016-08-23 02:08:16"
19,Twilio,"Cloud communications platform for building voice & messaging applications on an API built for global scale.","2016-08-23 02:08:58","2016-08-23 02:08:58"
20,Accenture,"A leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, and technology.","2016-08-23 02:09:56","2016-08-23 02:09:56"
21,Evernote,"Collect, nurture, and share ideas across desktop and mobile platforms.","2016-08-23 02:10:30","2016-08-23 02:10:30"
22,Asana,"A web and mobile application designed to help teams track their work.","2016-08-23 02:11:06","2016-08-23 02:11:06"
23,Buzzfeed,"An internet media comapny that describes itself as a social news and entertainment company with a focus on digital media and technology.","2016-08-23 02:12:03","2016-08-23 02:12:03"
24,"Cognizant IT Technology","A leader in global business & technology services.","2016-08-23 02:12:42","2016-08-23 02:12:42"
25,"Epic Systems Corporation","A privately held healthcare software company.","2016-08-23 02:13:27","2016-08-23 02:13:27"
